 Number | Obsoleted |        Reference
RFC0313 |           | O'Sullivan, T., "Computer based instruction", RFC 313, March 1972.
RFC0314 |           | Cotton, I., "Network Graphics Working Group Meeting", RFC 314, March 1972.
RFC0315 |   RFC0319 | Westheimer, E., "Network Host Status", RFC 315, March 1972.
RFC0316 |           | McKay, D. and A. Mullery, "ARPA Network Data Management Working Group", RFC 316, February 1972.
RFC0317 |   RFC0604 | Postel, J., "Official Host-Host Protocol Modification: Assigned Link Numbers", RFC 317, March 1972.
RFC0318 |           | Postel, J., "Telnet Protocols", RFC 318, April 1972.
RFC0319 |           | Westheimer, E., "Network Host Status", RFC 319, March 1972.
RFC0320 |           | Reddy, R., "Workshop on Hard Copy Line Graphics", RFC 320, March 1972.
RFC0321 |           | Karp, P., "CBI Networking Activity at MITRE", RFC 321, March 1972.
RFC0322 |           | Cerf, V. and J. Postel, "Well known socket numbers", RFC 322, March 1972.
RFC0323 |           | Cerf, V., "Formation of Network Measurement Group (NMG)", RFC 323, March 1972.
RFC0324 |           | Postel, J., "RJE Protocol meeting", RFC 324, April 1972.
RFC0325 |           | Hicks, G., "Network Remote Job Entry program - NETRJS", RFC 325, April 1972.
RFC0326 |   RFC0330 | Westheimer, E., "Network Host Status", RFC 326, April 1972.
RFC0327 |           | Bhushan, A., "Data and File Transfer workshop notes", RFC 327, April 1972.
RFC0328 |           | Postel, J., "Suggested Telnet Protocol Changes", RFC 328, April 1972.
RFC0329 |   RFC0363 | Network Information Center. Stanford Research Institute, "ARPA Network Mailing Lists", RFC 329, May 1972.
RFC0330 |           | Westheimer, E., "Network Host Status", RFC 330, April 1972.
RFC0331 |   RFC0343 | McQuillan, J., "IMP System Change Notification", RFC 331, April 1972.
RFC0332 |   RFC0342 | Westheimer, E., "Network Host Status", RFC 332, April 1972.
RFC0333 |           | Bressler, R., Murphy, D., and D. Walden, "Proposed experiment with a Message Switching Protocol", RFC 333, May 1972.
RFC0334 |           | McKenzie, A., "Network Use on May 8", RFC 334, May 1972.
RFC0335 |           | Bryan, R., "New Interface - IMP/360", RFC 335, May 1972.
RFC0336 |           | Cotton, I., "Level 0 Graphic Input Protocol", RFC 336, May 1972.
RFC0338 |           | Braden, R., "EBCDIC/ASCII Mapping for Network RJE", RFC 338, May 1972.
RFC0339 |           | Thomas, R., "MLTNET: A "Multi Telnet" Subsystem for Tenex", RFC 339, May 1972.
RFC0340 |           | O'Sullivan, T., "Proposed Telnet Changes", RFC 340, May 1972.
RFC0342 |   RFC0344 | Westheimer, E., "Network Host Status", RFC 342, May 1972.
RFC0343 |   RFC0359 | McKenzie, A., "IMP System change notification", RFC 343, May 1972.
RFC0344 |   RFC0353 | Westheimer, E., "Network Host Status", RFC 344, May 1972.
RFC0345 |           | Kelley, K., "Interest in Mixed Integer Programming (MPSX on NIC 360/91 at CCN)", RFC 345, May 1972.
RFC0346 |           | Postel, J., "Satellite Considerations", RFC 346, May 1972.
RFC0347 |           | Postel, J., "Echo process", RFC 347, May 1972.
RFC0348 |           | Postel, J., "Discard Process", RFC 348, May 1972.
RFC0349 |   RFC0433 | Postel, J., "Proposed Standard Socket Numbers", RFC 349, May 1972.
RFC0350 |           | Stoughton, R., "User Accounts for UCSB On-Line System", RFC 350, May 1972.
RFC0351 |           | Crocker, D., "Graphics information form for the ARPANET graphics resources notebook", RFC 351, June 1972.
RFC0352 |           | Crocker, D., "TIP Site Information Form", RFC 352, June 1972.
RFC0353 |   RFC0362 | Westheimer, E., "Network host status", RFC 353, June 1972.
RFC0354 |   RFC0542 | Bhushan, A., "File Transfer Protocol", RFC 354, July 1972.
RFC0355 |           | Davidson, J., "Response to NWG/RFC 346", RFC 355, June 1972.
RFC0356 |           | Alter, R., "ARPA Network Control Center", RFC 356, June 1972.
RFC0357 |           | Davidson, J., "Echoing strategy for satellite links", RFC 357, June 1972.
RFC0359 |           | Walden, D., "Status of the Release of the New IMP System (2600)", RFC 359, June 1972.
RFC0360 |   RFC0407 | Holland, C., "Proposed Remote Job Entry Protocol", RFC 360, June 1972.
RFC0361 |           | Bressler, R., "Deamon Processes on Host 106", RFC 361, July 1972.
RFC0362 |   RFC0366 | Westheimer, E., "Network Host Status", RFC 362, June 1972.
RFC0363 |   RFC0402 | Network Information Center. Stanford Research Institute, "ARPA Network mailing lists", RFC 363, August 1972.
RFC0364 |           | Abrams, M., "Serving remote users on the ARPANET", RFC 364, July 1972.
RFC0365 |           | Walden, D., "Letter to All TIP Users", RFC 365, July 1972.
RFC0366 |   RFC0367 | Westheimer, E., "Network Host Status", RFC 366, July 1972.
RFC0367 |   RFC0370 | Westheimer, E., "Network host status", RFC 367, July 1972.
RFC0368 |           | Braden, R., "Comments on "Proposed Remote Job Entry Protocol"", RFC 368, July 1972.
RFC0369 |           | Pickens, J., "Evaluation of ARPANET services January-March, 1972", RFC 369, July 1972.
RFC0370 |           | Westheimer, E., "Network Host Status", RFC 370, July 1972.
RFC0371 |           | Kahn, R., "Demonstration at International Computer Communications Conference", RFC 371, July 1972.
RFC0372 |           | Watson, R., "Notes on a Conversation with Bob Kahn on the ICCC", RFC 372, July 1972.
RFC0373 |           | McCarthy, J., "Arbitrary Character Sets", RFC 373, July 1972.
RFC0374 |           | McKenzie, A., "IMP System Announcement", RFC 374, July 1972.
RFC0376 |           | Westheimer, E., "Network Host Status", RFC 376, August 1972.
RFC0377 |           | Braden, R., "Using TSO via ARPA Network Virtual Terminal", RFC 377, August 1972.
RFC0378 |   RFC0391 | McKenzie, A., "Traffic statistics (July 1972)", RFC 378, August 1972.
RFC0379 |           | Braden, R., "Using TSO at CCN", RFC 379, August 1972.
RFC0381 |           | McQuillan, J., "Three aids to improved network operation", RFC 381, July 1972.
RFC0382 |           | McDaniel, L., "Mathematical Software on the ARPA Network", RFC 382, August 1972.
RFC0384 |           | North, J., "Official site idents for organizations in the ARPA Network", RFC 384, August 1972.
RFC0385 |           | Bhushan, A., "Comments on the File Transfer Protocol", RFC 385, August 1972.
RFC0386 |           | Cosell, B. and D. Walden, "Letter to TIP users-2", RFC 386, August 1972.
RFC0387 |           | Kelley, K. and J. Meir, "Some experiences in implementing Network Graphics Protocol Level 0", RFC 387, August 1972.
RFC0388 |           | Cerf, V., "NCP statistics", RFC 388, August 1972.
RFC0389 |   RFC0423 | Noble, B., "UCLA Campus Computing Network Liaison Staff for ARPA Network", RFC 389, August 1972.
RFC0390 |           | Braden, R., "TSO Scenario", RFC 390, September 1972.
RFC0391 |           | McKenzie, A., "Traffic statistics (August 1972)", RFC 391, September 1972.
RFC0392 |           | Hicks, G. and B. Wessler, "Measurement of host costs for transmitting network data", RFC 392, September 1972.
RFC0393 |           | Winett, J., "Comments on Telnet Protocol Changes", RFC 393, October 1972.
RFC0394 |           | McQuillan, J., "Two Proposed Changes to the IMP-Host Protocol", RFC 394, September 1972.
RFC0395 |           | McQuillan, J., "Switch Settings on IMPs and TIPs", RFC 395, October 1972.
RFC0396 |           | Bunch, S., "Network Graphics Working Group Meeting - Second Iteration", RFC 396, November 1972.
RFC0398 |           | Pickens, J. and E. Faeh, "ICP Sockets", RFC 398, September 1972.
RFC0399 |   RFC0431 | Krilanovich, M., "SMFS Login and Logout", RFC 399, September 1972.
RFC0400 |           | McKenzie, A., "Traffic Statistics (September 1972)", RFC 400, October 1972.
RFC0401 |           | Hansen, J., "Conversion of NGP-0 Coordinates to Device Specific Coordinates", RFC 401, October 1972.
RFC0402 |           | North, J., "ARPA Network Mailing Lists", RFC 402, October 1972.
RFC0403 |           | Hicks, G., "Desirability of a Network 1108 Service", RFC 403, January 1973.
RFC0404 |           | McKenzie, A., "Host Address Changes Involving Rand and ISI", RFC 404, October 1972.
RFC0405 |           | McKenzie, A., "Correction to RFC 404", RFC 405, October 1972.
RFC0406 |           | McQuillan, J., "Scheduled IMP Software Releases", RFC 406, October 1972.
RFC0407 |           | Bressler, R., Guida, R., and A. McKenzie, "Remote Job Entry Protocol", RFC 407, October 1972.
RFC0408 |           | Owen, A. and J. Postel, "NETBANK", RFC 408, October 1972.
RFC0409 |           | White, J., "Tenex interface to UCSB's Simple-Minded File System", RFC 409, December 1972.
RFC0410 |           | McQuillan, J., "Removal of the 30-Second Delay When Hosts Come Up", RFC 410, November 1972.
RFC0411 |           | Padlipsky, M., "New MULTICS Network Software Features", RFC 411, November 1972.
RFC0412 |           | Hicks, G., "User FTP Documentation", RFC 412, November 1972.
RFC0413 |           | McKenzie, A., "Traffic statistics (October 1972)", RFC 413, November 1972.
RFC0414 |           | Bhushan, A., "File Transfer Protocol (FTP) status and further comments", RFC 414, December 1972.
RFC0415 |           | Murray, H., "Tenex bandwidth", RFC 415, November 1972.
RFC0416 |           | Norton, J., "ARC System Will Be Unavailable for Use During Thanksgiving Week", RFC 416, November 1972.
RFC0417 |           | Postel, J. and C. Kline, "Link usage violation", RFC 417, December 1972.
RFC0418 |           | Hathaway, W., "Server File Transfer Under TSS/360 At NASA-Ames Research Center", RFC 418, November 1972.
RFC0419 |           | Vezza, A., "To: Network liaisons and station agents", RFC 419, December 1972.
RFC0420 |           | Murray, H., "CCA ICCC weather demo", RFC 420, January 1973.
RFC0421 |           | McKenzie, A., "Software Consulting Service for Network Users", RFC 421, November 1972.
RFC0422 |           | McKenzie, A., "Traffic statistics (November 1972)", RFC 422, December 1972.
RFC0423 |           | Noble, B., "UCLA Campus Computing Network Liaison Staff for ARPANET", RFC 423, December 1972.
RFC0425 |           | Bressler, R., ""But my NCP costs $500 a day"", RFC 425, December 1972.
RFC0426 |           | Thomas, R., "Reconnection Protocol", RFC 426, January 1973.
RFC0429 |           | Postel, J., "Character Generator Process", RFC 429, December 1972.
RFC0430 |           | Braden, R., "Comments on File Transfer Protocol", RFC 430, February 1973.
RFC0431 |           | Krilanovich, M., "Update on SMFS Login and Logout", RFC 431, December 1972.
RFC0432 |           | Neigus, N., "Network logical map", RFC 432, December 1972.
RFC0433 |   RFC0503 | Postel, J., "Socket number list", RFC 433, December 1972.
RFC0434 |   RFC0447 | McKenzie, A., "IMP/TIP memory retrofit schedule", RFC 434, January 1973.
RFC0435 |           | Cosell, B. and D. Walden, "Telnet issues", RFC 435, January 1973.
RFC0436 |           | Krilanovich, M., "Announcement of RJS at UCSB", RFC 436, January 1973.
RFC0437 |           | Faeh, E., "Data Reconfiguration Service at UCSB", RFC 437, June 1973.
RFC0438 |           | Thomas, R. and R. Clements, "FTP server-server interaction", RFC 438, January 1973.
RFC0439 |           | Cerf, V., "PARRY encounters the DOCTOR", RFC 439, January 1973.
RFC0440 |           | Walden, D., "Scheduled network software maintenance", RFC 440, January 1973.
RFC0441 |           | Bressler, R. and R. Thomas, "Inter-Entity Communication - an experiment", RFC 441, January 1973.
RFC0442 |           | Cerf, V., "Current flow-control scheme for IMPSYS", RFC 442, January 1973.
RFC0443 |           | McKenzie, A., "Traffic statistics (December 1972)", RFC 443, January 1973.
RFC0445 |           | McKenzie, A., "IMP/TIP preventive maintenance schedule", RFC 445, January 1973.
RFC0446 |           | Deutsch, L., "Proposal to consider a network program resource notebook", RFC 446, January 1973.
RFC0447 |   RFC0476 | McKenzie, A., "IMP/TIP memory retrofit schedule", RFC 447, January 1973.
RFC0448 |           | Braden, R., "Print files in FTP", RFC 448, February 1973.
RFC0449 |           | Walden, D., "Current flow-control scheme for IMPSYS", RFC 449, January 1973.
RFC0450 |           | Padlipsky, M., "MULTICS sampling timeout change", RFC 450, February 1973.
RFC0451 |           | Padlipsky, M., "Tentative proposal for a Unified User Level Protocol", RFC 451, February 1973.
RFC0452 |           | Winett, J., "TELNET Command at Host LL", RFC 452, February 1973.
RFC0453 |           | Kudlick, M., "Meeting announcement to discuss a network mail system", RFC 453, February 1973.
RFC0454 |           | McKenzie, A., "File Transfer Protocol - meeting announcement and a new proposed document", RFC 454, February 1973.
RFC0455 |           | McKenzie, A., "Traffic statistics (January 1973)", RFC 455, February 1973.
RFC0456 |           | Kudlick, M., "Memorandum: Date change of mail meeting", RFC 456, February 1973.
RFC0457 |           | Walden, D., "TIPUG", RFC 457, February 1973.
RFC0458 |           | Bressler, R. and R. Thomas, "Mail retrieval via FTP", RFC 458, February 1973.
RFC0459 |           | Kantrowitz, W., "Network questionnaires", RFC 459, February 1973.
RFC0460 |           | Kline, C., "NCP survey", RFC 460, February 1973.
RFC0461 |           | McKenzie, A., "Telnet Protocol meeting announcement", RFC 461, February 1973.
RFC0462 |           | Iseli, J. and D. Crocker, "Responding to user needs", RFC 462, February 1973.
RFC0463 |           | Bhushan, A., "FTP comments and response to RFC 430", RFC 463, February 1973.
RFC0464 |           | Kudlick, M., "Resource notebook framework", RFC 464, February 1973.
RFC0466 |           | Winett, J., "Telnet logger/server for host LL-67", RFC 466, February 1973.
RFC0467 |           | Burchfiel, J. and R. Tomlinson, "Proposed change to Host-Host Protocol: Resynchronization of connection status", RFC 467, February 1973.
RFC0468 |           | Braden, R., "FTP data compression", RFC 468, March 1973.
RFC0469 |           | Kudlick, M., "Network mail meeting summary", RFC 469, March 1973.
RFC0470 |           | Thomas, R., "Change in socket for TIP news facility", RFC 470, March 1973.
RFC0471 |           | Thomas, R., "Workshop on multi-site executive programs", RFC 471, March 1973.
RFC0472 |           | Bunch, S., "Illinois' reply to Maxwell's request for graphics information (NIC 14925)", RFC 472, March 1973.
RFC0473 |           | Walden, D., "MIX and MIXAL?", RFC 473, February 1973.
RFC0474 |           | Bunch, S., "Announcement of NGWG meeting: Call for papers", RFC 474, March 1973.
RFC0475 |           | Bhushan, A., "FTP and Network Mail System", RFC 475, March 1973.
RFC0476 |           | McKenzie, A., "IMP/TIP memory retrofit schedule (rev 2)", RFC 476, March 1973.
RFC0477 |           | Krilanovich, M., "Remote Job Service at UCSB", RFC 477, May 1973.
RFC0478 |           | Bressler, R. and R. Thomas, "FTP server-server interaction - II", RFC 478, March 1973.
RFC0479 |           | White, J., "Use of FTP by the NIC Journal", RFC 479, March 1973.
RFC0480 |           | White, J., "Host-dependent FTP parameters", RFC 480, March 1973.
